Date,Name,Country,BusinessType,BusinessSubType,BreachType,DataType,DataType2,InsideOutside,ThirdParty,ThirdPartyName,TotalAffected,RefPage,UID,XREF1,StockSymbol,DataRecovered,ConsumerLawsuit,ArrestProsecution
9/21/2007,City of Columbus Ohio,US,Gov,City,Stolen Computers,SSN,NAA,Outside,No,,3500,http://attrition.org/dataloss/2007/09/columbus01.html,DL-0784,,No,No,No,No
9/21/2007,ABN Amro Mortgage Group,US,Biz,Fin,Web,SSN,NAA,Outside,No,,5208,http://attrition.org/dataloss/2007/09/amro01.html,DL-0785,,No,No,No,No
9/24/2007,Utah Department of Workforce Services,US,Gov,State,Stolen Laptop,SSN,?,Outside,No,,2000,http://attrition.org/dataloss/2007/09/udws01.html,DL-0786,,No,No,No,No
9/28/2007,Gap Inc.,US,Biz,Retail,Stolen Laptop,SSN,?,Outside,Yes,?,800000,http://attrition.org/dataloss/2007/09/gap01.html,DL-0787,,GPS,No,No,No
10/2/2007,The Nature Conservancy,US,Biz,NFP,Hack,SSN,NAA,Outside,No,,14000,http://attrition.org/dataloss/2007/10/nature01.html,DL-0788,,No,No,No,No
10/2/2007,Athens Regional Health Services,US,Med,Hos,Stolen Computer,MED,NAA,Outside,No,,1441,http://attrition.org/dataloss/2007/10/armc01.html,DL-0789,,No,No,No,No
10/4/2007,Massachusetts Division of Professional Licensure,US,Gov,State,Snail Mail,SSN,NAA,Outside,No,,450000,http://attrition.org/dataloss/2007/10/mdpl01.html,DL-0790,,No,Partial,No,No
10/4/2007,MacEwan College,CA,Edu,Uni,Web,CCN,NAA,Outside,No,,?,http://attrition.org/dataloss/2007/10/macewan01.html,DL-0793,,No,No,No,No
10/5/2007,Kartenhaus,DE,Biz,Retail,Hack,CCN,NAA,Outside,No,,66000,http://attrition.org/dataloss/2007/10/karten01.html,DL-0791,,No,No,No,No
10/5/2007,HM Revenue and Customs,GB,Gov,Fed,Stolen Laptop,FIN,?,Outside,No,,400,http://attrition.org/dataloss/2007/10/hmrc01.html,DL-0792,,No,No,No,No
10/8/2007,University of Iowa,US,Edu,Uni,Stolen Laptop,SSN,?,Outside,No,,184,http://attrition.org/dataloss/2007/10/uiowa01.html,DL-0794,,No,No,No,No
10/8/2007,Carnegie Mellon University,US,Edu,Uni,Stolen Laptops,SSN,?,Outside,No,,400,http://attrition.org/dataloss/2007/10/cmu01.html,DL-0795,,No,No,No,No
